iter	Passed	Remaining
0	15	15249
1	28	14433
2	42	14224
3	66	16500
4	85	16919
5	100	16618
6	113	16169
7	127	15830
8	140	15425
9	154	15296
10	167	15091
11	180	14890
12	195	14811
13	211	14914
14	230	15125
15	255	15732
16	287	16637
17	310	16929
18	327	16888
19	343	16812
20	358	16701
21	372	16541
22	385	16378
23	399	16233
24	415	16200
25	430	16142
26	451	16267
27	474	16455
28	487	16331
29	500	16196
30	515	16109
31	529	16015
32	546	16007
33	567	16128
34	585	16155
35	600	16080
36	613	15966
37	627	15889
38	642	15839
39	657	15768
40	678	15870
41	702	16020
42	716	15940
43	729	15851
44	743	15781
45	757	15700
46	772	15653
47	786	15606
48	802	15584
49	819	15568
50	834	15530
51	847	15454
52	861	15401
53	882	15466
54	897	15427
55	911	15360
56	924	15298
57	939	15254
58	954	15223
59	969	15187
60	985	15166
61	1000	15129
62	1014	15092
63	1031	15081
64	1049	15093
65	1068	15118
66	1087	15143
67	1111	15236
68	1127	15208
69	1146	15233
70	1164	15233
71	1180	15213
72	1197	15202
73	1215	15209
74	1231	15192
75	1246	15152
76	1261	15126
77	1279	15128
78	1299	15144
79	1318	15167
80	1336	15162
81	1356	15182
82	1372	15168
83	1391	15175
84	1409	15169
85	1427	15174
86	1444	15154
87	1461	15148
88	1480	15150
89	1514	15309
90	1538	15364
91	1554	15340
92	1569	15311
93	1586	15288
94	1601	15256
95	1614	15207
96	1627	15152
97	1643	15128
98	1657	15087
99	1671	15039
100	1691	15060
101	1717	15117
102	1768	15399
103	1797	15483
104	1815	15474
105	1836	15488
106	1853	15468
107	1870	15446
108	1886	15420
109	1907	15436
110	1933	15482
111	1962	15561
112	1999	15693
113	2027	15753
114	2050	15776
115	2069	15774
116	2086	15744
117	2129	15918
118	2153	15939
119	2187	16041
120	2217	16109
121	2251	16202
122	2269	16178
123	2288	16170
124	2307	16155
125	2323	16119
126	2347	16139
127	2365	16114
128	2385	16107
129	2405	16100
130	2477	16435
131	2569	16893
132	2635	17181
133	2678	17310
134	2695	17268
135	2713	17237
136	2730	17200
137	2745	17149
138	2760	17101
139	2774	17046
140	2787	16981
141	2801	16925
142	2818	16891
143	2831	16832
144	2844	16774
145	2858	16719
146	2872	16669
147	2884	16607
148	2899	16562
149	2916	16525
150	2934	16497
151	2952	16470
152	2966	16420
153	2980	16372
154	2993	16320
155	3006	16267
156	3019	16214
157	3031	16155
158	3044	16105
159	3059	16062
160	3074	16019
161	3088	15975
162	3102	15932
163	3115	15879
164	3130	15841
165	3149	15822
166	3164	15787
167	3177	15738
168	3192	15696
169	3205	15651
170	3219	15606
171	3232	15561
172	3244	15511
173	3259	15474
174	3273	15431
175	3286	15387
176	3299	15343
177	3313	15300
178	3326	15256
179	3341	15223
180	3356	15188
181	3374	15166
182	3388	15126
183	3401	15085
184	3414	15042
185	3428	15002
186	3440	14956
187	3453	14916
188	3469	14885
189	3482	14847
190	3495	14807
191	3508	14764
192	3522	14727
193	3536	14691
194	3551	14661
195	3565	14627
196	3585	14615
197	3599	14580
198	3614	14549
199	3628	14512
200	3641	14477
201	3654	14437
202	3668	14404
203	3682	14367
204	3694	14328
205	3707	14290
206	3720	14254
207	3735	14224
208	3749	14190
209	3763	14158
210	3777	14125
211	3815	14183
212	3829	14150
213	3842	14113
214	3856	14079
215	3868	14039
216	3882	14008
217	3895	13974
218	3908	13937
219	3921	13903
220	3933	13866
221	3947	13834
222	3960	13800
223	3977	13779
224	4042	13922
225	4108	14071
226	4145	14117
227	4160	14087
